Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Mr Gaspacho,485437,,2017-11-03,,"The end of the school year is approaching and Méline, an introverted teenager, has only one week left to get close to the boy she loves. Assisted by her loyal advisor Mr Gaspacho, and her best friend, Méline will attempt what would normally be impossible for her.",en,Released,0,,,,,,,[18]
Midnighter,479977,,2017-12-17,,"Home alone, a determined teenager decides to take catching a burglar into his own hands.",en,Released,0,,,,,,,[]
Nocturno: Ghosts of the Sea in Port,531487,tt6516394,2017-11-20,"Senegalese, Indonesian and Galician sailors from the Spanish fishing vessel ILHA BRAVA, fight a silent battle in body and soul during their long, empty hours docked in the port of ...","The Spanish vessel ‘Ilha Brava’ arrives from the deep seas of the south Atlantic. 55 days at sea are interrupted by only five days docked in the port of Montevideo. The city exists as a hologram for the sailors, standing like a shadow behind the vessel that gives shelter. Men of diverse nationalities and religions, yet all share the same broken gaze, in which a dream of home absorbed through a screen is a haunting and entertaining presence during the long dead hours of waiting.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Kayla in 1A,531901,,2018-01-01,,"On September 5th, 2016, I moved in with Kayla, we had never met prior to that day. This film portrays a peculiar roommate that I never really spoke to.​​​​​​​",en,Released,0,,,,,,,[16]
Waxing Moon,490619,,2017-12-06,,"Forty years after the fall of Phnom Penh, Cambodian artists inherit a pluralistic history whose groping threads they unravel. Sera Ing works on the sculpture which will become the first memorial of the genocide but the project encounters difficulties to exist. How do artists reappropriate history and culture from which they have been dispossessed?",en,Released,0,,,,,,,[]
Tim Heidecker Trial,495280,,2017-11-16,,"Timothy R. Heidecker is charged with 20 counts of 2nd degree murder. The deaths occurred at the electric sun desert music festival, where it is alleged Mr. Heidecker distributed deadly vape pens.",en,Released,0,,,,,,,[]
Brakes,399226,tt5535436,2017-11-24,Brakes is an improv-based dark comedy set in London.,"Brakes is an ensemble cast, improv-based dark comedy set in London. Divided into two parts, it tells the story of each couples relationship in reverse, starting with the break-ups.",en,Released,0,86%,N/A,5.8,12,N/A,N/A,[35]
TLDR,530849,,2018-01-01,,,en,Released,0,,,,,,,[]
Ink,511667,tt6159514,2017-11-05,Ink is a feral teen headed down a path of drugs and self-destruction after getting kicked out of her upper class home. Destin is an introspective outsider trying to turn his life around and...,"Ink is a feral queer teen headed down a path of self-destruction.  Destin is an introspective outsider trying to turn his life around and get out of the shelter system.  After meeting at a party one night they take to the streets of LA to find identity, family and revenge.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
"Angry, White and American",486953,tt7616890,2017-11-09,N/A,Gary Younge travels across America to find out why Trump resonates with so many people.,en,Released,0,,N/A,5.6,8,N/A,N/A,[]
Stegman is Dead,487249,tt3858454,2017-11-17,"Meet Stegman. He's dead. In this crime comedy, bizarre assassins must come together to unravel the puzzle of Stegman's blackmail secret, and why he's already dead on the set of his own porn...","In this crime comedy, bizarre assassins must come together to unravel the puzzle of Stegman's blackmail secret, and why he's already dead on the set of his own porn film.",en,Released,0,,N/A,5.9,30,N/A,N/A,"[53, 28, 80, 35]"
VA: The Human Cost of War,487019,,2017-11-07,,"""VA: The Human Cost of War"" explores what it does and how it functions, its vast size and critical importance, and its history and provenance — how and why it came into existence, how and why it has changed over time, how it has come to be broken in critical ways in recent generations and how it may be reformed going forward.  Told through a series of personal stories from veterans and intertwined with deep historical and political analysis from leading scholars and elected officials, the film illustrates the key ways in which the VA, and we as a society, fail our veterans, who, according to Department of Veterans Affairs research, continue to commit suicide at the harrowing rate of 20 veterans per day.",en,Released,0,,,,,,,[]
Ab ovo,491212,,2017-12-06,,"In a desert and hostile paradise, between mountains of sand and solitary camels in perpetual journey, life is renewed with a promise of love in the shade of a lone tree.  Adam and Eve have a chance. The last chance to heal and create a new progeny of more decent human beings.",en,Released,0,,,,,,,[]
The Grimalkin,499913,,2017-12-15,,"Inspired by George Kuchar’s The Mongreloid, Scarlett reminisces with Lolita about their years together.",en,Released,0,,,,,,,[]
Knights Templar: Rise and Fall,531838,tt7185754,2017-12-05,"Eons ago, an enigmatic group of warrior monks made history. In the 21st Century we are still looking back upon their history and mystery with wonder and speculation. They are linked to the ...","Eons ago, an enigmatic group of warrior monks made history. In the 21st Century we are still looking back upon their history and mystery with wonder and speculation. They are linked to the Holy Grail, the Ark of the Covenant and even the bloodline of Jesus Christ. They discovered a shocking artifact buried deep beneath the Temple of Solomon and held mankind's greatest secret of all by banding together to protect it for centuries, they are the Knights Templar.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Kaufman's Game,488105,tt2238758,2017-11-20,"Kaufman's Game follows Stanley, a driven young man with a passion for boxing, who is keen to improve his strength and stamina. When a shady stranger approaches him outside the gym with the ...","Kaufman's Game follows Stanley, an unemployed young man with a passion for boxing, who is keen to improve his strength and stamina. When a stranger approaches him outside the gym with the offer of a specially produced steroid, Stanley is drawn into the ever more violent operations of a powerful organisation, unwittingly entering into a series of tests designed to prove his mettle. This is a film about power, determination and being your own worst enemy. It celebrates the archetypes of classic Film Noir, and the dark, conspiratorial storytelling technique of Franz Kafka, but with a contemporary minimalist aesthetic.",en,Released,0,,N/A,3.9,99,N/A,N/A,"[80, 53]"
情殺案 Crime of Passion,468746,,2017-11-19,,"This animation is a visual interpretation of a poem, ""Crime of Passion"" written by a Taiwanese poet, Hsia Yu. It is selected from her 1984 poetry collection, Beiwanglu, Memoranda. She reveals her emotions of love and sadness intertwined with one another and connects them with abstractions and metaphors. It expresses the preemptive feelings and desire for love regardless of reality. With the artist's way of interpretation, the poem transforms and alters its original forms. The artist wishes to present the poem in a different aesthetics from words to images.",en,Released,0,,,,,,,"[16, 9648]"
Will & Grace: A Gay Olde Christmas,490777,tt6439596,2017-12-05,"Will (Eric McCormack), Grace (Debra Messing), Karen (Megan Mullally), and Jack (Sean Hayes) wish they could have experienced Christmas in old New York City, but realize the past was not ...","Will, Grace, Karen and Jack wish they could have experienced Christmas in old New York, but realize the past was not quite as romantic or open to diversity as they pictured it.",en,Released,0,,N/A,8.3,229,,,"[10751, 35, 10749]"
Reindeer Lodge,475832,,2017-12-09,,"Sophie Bennett begins a new holiday tradition of spending every holiday at the Evergreen Inn and Ski Lodge, which she inherited from her parents. Evergreen Inn is a special place filled with people who cannot make it home for the holidays or who have had such wonderful experiences that it has become their home-away-from-holiday-home. This Christmas, Sophie will meet an unforgettable family, and her own life will be forever changed.",en,Released,0,,,,,,,[]
Killer Christmas,488242,tt6456768,2017-11-22,A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask.,A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask.,en,Released,0,,N/A,3.2,116,22 Nov 2017,N/A,[27]
Base,443487,tt3263306,2017-11-06,"Only two kinds of people step off a cliff. Those that want to die and those that want to live. JC is a B.A.S.E. jumper, a global playboy who lives his life quite literally on the edge, ...","JC (Alexander Polli) is a B.A.S.E. Jumper, a global playboy who lives his life quite literally on the edge, pursuing man’s greatest dream – to fly. When a jump goes wrong, that dream is violently shattered. Haunted by the event, JC is drawn to his best friend’s lover, ASH (Julie Dray), as he pushes himself harder than ever before – flying lower, closer, faster and recording every moment on film. Soon JC’s dark descent threatens not only his own life but the lives of all those around him. BASE follows a man over the edge and watches him fall.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[9648, 28, 18]"
Memories Lost and Found III,485934,,2017-11-08,,Collection of images lost and memories found.,en,Released,10000,,,,,,,[]
Jeff Ross Roasts the Border,487541,tt7620650,2017-11-13,N/A,"Roastmaster Jeff Ross explores the world surrounding the U.S.-Mexico border, speaking to immigrants, DREAMers, detainees, border patrolers, human traffickers and Trump supporters. Then he puts on a show next to the border wall to roast American immigration policies, random audience volunteers and every ethnicity imaginable.",en,Released,0,,N/A,6.4,58,N/A,N/A,[35]
A Meowy Christmas,491400,,2017-12-01,,"A couple of bumbling burglars are mistaken as two aliens by a talking cat that watches too many conspiracy videos. Regardless it's up to Ms. Whiskers and her rat friend, Chuck, to capture them and save Christmas.",en,Released,0,,,,,,,"[35, 10751]"
Paw Patrol: Big Screen Tails,482965,,2017-11-20,,"Ryder, Chase, Marshal, Skye and the rest of the PAW Patrol return to the big screen with four favourite episodes never before seen in cinemas.",en,Released,0,,,,,,,[]
Ambré,494119,,2017-12-05,,"A room and a man, standing in front of a mirror, facing his wounds and his loneliness.",en,Released,0,,,,,,,[18]
Children Of Ether,491123,tt7243464,2017-11-29,"Follow Rhonda, a woman with a dark past and a mysterious power, as she is pursued by an unknown assailant after the death of her father. Aided only by her wits and a pair of orphans, she ...","Follow Rhonda, a woman with a dark past and a mysterious power, as she is pursued by an unknown assailant after the death of her father. Aided only by her wits and a pair of orphans, she journeys through a decaying, dystopian metropolis populated by raiders, gangs, and the supernatural. As she struggles to survive in this harsh urban tangle, she meets both friends and enemies, and searches for answers about this power, ""The Ether"", awakening within her.",en,Released,0,,N/A,7.1,11,N/A,N/A,"[12, 16]"
The Tradesman,491077,,2017-12-05,,A serial killer matches wits with an abductee bent on bringing him down at any cost.,en,Released,0,,,,,,,[]
Scott Peterson: An American Murder Mystery,490183,,2017-11-29,,"When 27-year-old expectant mother Laci Peterson vanishes on Christmas Eve, suspicion falls on her husband, Scott. Take a deep, intimate look into the gripping investigation and explosive trial that became a national spectacle.",en,Released,0,,,,,,,[]
Beyond the Cosmos,524616,tt7761662,2017-12-15,"A Short Christmas film set in the 1980's. A young boy befriends a strange man living in the forest. After the boy passes away, on the following christmas a mysterious light appears in the ...","A Short Christmas film set in the 1980's. A young boy befriends a strange man living in the forest. After the boy passes away, on the following christmas a mysterious light appears in the sky. The light catches the mans attention as well as the sister and Mother of the boy. The light leads the man and family to meet. However as soon as they come face to face with this frightening light they soon realise that it's the light is more familiar than they think.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[10751, 878]"
Familienleben,486700,,2017-11-10,,Autobiographical documentary,en,Released,0,,,,,,,[]
Survive The Hollow Shoals,506986,tt8021048,2018-01-01,"Zach sets out into the wildness of the Georgia Shoals to prove his survival skills for 60 days. Before too long, finding clean water and sufficient scavenged food are the least of his ...","Zach sets out into the wildness of the Georgia Shoals to prove his survival skills for 60 days. Before too long, finding clean water and sufficient scavenged food are the least of his worries when disturbing noises and events disturb his lonely challenge.",en,Released,100,,N/A,5.0,54,N/A,N/A,[27]
Dogwatch,504202,,2017-11-30,,A security guard working the night shift at a strange apartment complex begins to discover that all is not as it seems.,en,Released,200,,,,,,,"[18, 27]"
Graven Image,490698,,2017-12-01,,"Using over 100 years of archival footage, director Sierra Pettengill explores the history of the largest Confederate monument, Georgia’s Stone Mountain.",en,Released,0,,,,,,,[]
Party Boat,472722,tt6944936,2017-12-01,"Party Boat focuses on Max, who is throwing a 25th birthday party for his best friend Kiley. When Max finds out Kiley's boyfriend Greg plans to propose, he embarks on an adventure to win Kiley's heart and throw his greatest party ever.","Party Boat focuses on Max, who is throwing a 25th birthday party for his best friend Kiley. When Max finds out Kiley's boyfriend Greg plans to propose, he embarks on an adventure to win Kiley's heart and throw his greatest party ever.",en,Released,0,,N/A,4.5,99,24 Aug 2017,N/A,[35]
Alexis de Anda: Mea Culpa,486299,tt7587068,2017-11-10,N/A,"Stand-up comedian Alexis de Anda shares thoughts on gynecologists, drugs, and sex.",en,Released,0,,N/A,3.9,12,N/A,N/A,[]
Itch,487439,tt5954354,2017-11-25,A man with an uncontrollable Itch on his hand goes through increasingly extreme measures to get rid of it.,A man with an uncontrollable Itch on his hand goes through increasingly extreme measures to get rid of it.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[35, 27]"
"All Male, All Nude",496189,tt7660662,2017-12-05,Journey into the world of male strippers at America's only all nude gay strip club located in the heart of the Bible Belt and the unique family unit it engenders.,"A cutting-edge journey into the taboo world of male stripping. Dive into the lives of men who work at America’s only all nude, all male, a gay strip club located in the heart of The Bible Belt.",en,Released,40000,,N/A,4.6,83,N/A,N/A,[]
Count Arthur Strong Brings You: The Sound Of Mucus,507984,,2017-11-13,,"Using stories and other things that are secret, Count Arthur Strong, showbiz legend, pays tribute to one of the best musicals he can remember. Uniquely recreating the salient and poignant moments for your enjoyment. Don’t miss this amazing show.  Count Arthur Strong is ably supported on stage by Terry Kilkelly as Malcom de Tinsell, from Count Arthur Strong’s Radio Show! and Dave Plimmer, who features in Count Arthur Strong on BBC1, as Allan Leslie.  ‘If you only download one show for something this year buy this one twice and share with a friend. I promise you, you won’t regret it. And if you do there must be something wrong with you. No refunds’.",en,Released,0,,,,,,,[35]
Anjaniputra,512866,tt7778560,2017-12-21,"Anjaniputra is a Kannada movie starring Puneeth Rajkumar and Rashmika Mandanna, an action romance genre with elements of family sentiment. This family entertainer is directed by well known choreographer-turned-director Harsha A.","A small-time businessman who runs a finance business at a local vegetable market enjoys the support of the local vendors and people in the area. All goes well for him until one day, he saves an honest police officer from being killed by a local gangster. Soon, a rivalry ensues between the two.",en,Released,0,,N/A,6.9,267,N/A,N/A,"[28, 35, 10749]"
Egal gibt es nicht,486693,,2017-11-06,,A woman fights against right-wing politics.,en,Released,0,,,,,,,[]
Survivorz,519054,,2017-11-19,,"When a zombie outbreak strikes London, a group of American friends must escape the chaos and destruction as they fight for their survival and try to make it out of the city alive.",en,Released,0,,,,,,,[27]
A Table Game,531337,tt7923484,2017-11-21,,"A hush falls upon the crowd, the commentator awaits the first play, the balls are ready, the first mouth is opened – it’s time to play",en,Released,0,,,,,,,[16]
Violin,510722,,2017-11-20,,"The story of the young composer who loves a girl and the daughter of a religious family and the difference between the two families. With the arrival of the third person in the classroom, there are problems for them and ...",en,Released,0,,,,,,,"[18, 10751]"
Star Wars: The Lost Patrol,500977,,2018-01-01,,Star Wars Fan Film,en,Released,0,,,,,,,[878]
Polixeni,481137,,2017-11-05,,"In 1955 a couple of prominent Greek Istanbulites adopt an orphan Greek girl, twelve-year-old Polyxeni, who is separated from her younger brother. She embarks on a new life and a future that looks bright, but she will have to defend what’s rightfully hers.",en,Released,0,,,,,,,[]
Praetoria - Part One,485016,,2017-11-03,,"A sword-wielding galactic general (or space pirate) waits in the hull of a strange ship in front of a large broken mirror, plagued by the memory of a woman's voice telling him he will never be forgiven, as his crew ransacks the ship for gold.",en,Released,0,,,,,,,"[16, 878]"
Super Bheem Toota Khush Tara,493180,,2017-12-17,,,en,Released,256982,,,,,,,[]
Hadithi za Kumekucha: Tunu,491436,tt6856604,2017-11-03,Who are you without a home?,"Mashoto’s life in the city is a hustle. It’s a fast life in the fast city of Dar es Salaam. There’s no time to stop and Mashoto likes it this way. There’s no time to think about the people he left behind in the village.  Until silence cuts through the city racket with three words: mother has died. With those words Mashoto’s life changes forever. He returns home, to the place he abandoned, to bury his only ally.  Yet his mother has left behind a gift. Her voice, her unseen presence, a gentle whisper urging him to open his eyes and strain his ears- to learn the lessons of nature, of the earth and the roots that draw their nourishment from it.  Cast out by his father after losing the little money his mother had left, Mashoto must learn to survive from the land. He must learn to face old enemies and forge new alliances, to fight and to love. Most of all, Mashoto must discover what it is he is fighting for.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
Alone in this House,509494,tt7593664,2017-11-05,A troubled boy finds solace in an unlikely connection with a ghost.,A troubled boy finds solace in an unlikely connection with a ghost.,en,Released,1000,,N/A,N/A,N/A,N/A,N/A,"[18, 14]"
How to make a Pearl,487094,,2017-11-17,,"Some people seem to live in a figurative darkness. Due to a medical condition, John Kapellas exists in literal darkness. For ten years he has been confined within the walls of his apartment suffering from a condition known as “photosensitivity.” Both a visual artist and a musician, John's creativity is the engine propelling him through a seemingly endless night.",en,Released,0,,,,,,,[]
The Station,517919,tt7724882,2017-11-11,"Stuck inside a bus station on Christmas Eve, Rick, an emotionally closed off man, is visited by a peculiar stranger who helps him figure out the terms of his relationship with his estranged younger brother.","Stuck inside a bus station on Christmas Eve, Rick, an emotionally closed off man, is visited by a peculiar stranger who helps him figure out the terms of his relationship with his estranged younger brother.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Vat19 Movie: Part 1,483897,,2017-11-02,,"Vat19 is making an episodic movie! First part drops November 2nd, 2017. Don't miss it!",en,Released,0,,,,,,,[]
Happy Birthday,481134,,2017-11-04,,"When George runs out of the police riot bus and sees his daughter among the demonstrators facing him, he and his wife decide that father and daughter should go to their country home for a few days, to keep her safe and see if they can salvage their relationship.",en,Released,0,,,,,,,[]
Queen of Triads,495978,tt7763834,2017-12-07,N/A,The film revolves around a young innocent girl who is betrayed by her loved ones and decides to take control of her life by becoming a gangster.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[28, 80, 18]"
Jhyanakuti,493212,tt7676212,2017-11-17,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[10749, 18]"
KALA,491244,,2017-12-06,,It's about a young Muslim who faces various problems of acceptance and discrimination because of her religion.,en,Released,0,,,,,,,[18]
In White,484564,,2017-11-12,,"Lara, a 24 year old Lebanese artist living in NYC, returns home to Beirut for her father’s funeral. Her elegant strong-willed mother, Rima, pushes for Lara to behave in accordance with the social mores of Beirut and the traditional ways of grieving. Lara, in mourning and in need of her family, yields. Her Jewish Canadian fiancee, Noah, shows up to support her – but is surprised to discover that Lara has never told her family about him. Lara can’t bring herself to risk losing her family but eventually must find a way to be true to herself.",en,Released,0,,,,,,,[18]
Woman Child,504976,tt5640392,2017-11-05,"When Malin is fired from her teaching job for becoming pregnant out of wedlock, she and her partner, Michael, unable to support themselves on one salary, must either concede to the institutions teachings, or fight for her civil liberties.","When a teacher at a Christian high school becomes pregnant out of wedlock, she is forced to decide if she should yield to the institution's teachings or fight for her civil liberties.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
Head Above Water,519742,tt4241778,2017-12-30,N/A,"A mockumentary following the craziest rivalry in surfing history, and the events that follow a shark attack at an annual competition.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[35]
An Author's Tale,486870,,2017-11-11,,"An author reflects on her hard knocks, uplifting journey. One of six 2017 Regal Short Film Showdown finalists.",en,Released,0,,,,,,,[18]
Radio Mary,264352,tt7686386,2017-11-28,"In the elevator a man touches Mary's shoulder and talks to her telepathically. From that day everything changes in Mary's life, she starts reading people's mind becoming a sort of living radio and soon is pushed toward a bloody path.","Mary (Kate Lyn Sheil) lives alone. She is waiting for something to happen in her life. Riding the elevator to work, a strange man, Hayward, grabs her shoulder and speaks to her telepathically. “Do you believe in magic?” This triggers a nervous breakdown. After a visit to the emergency room, Mary goes to stay at her sister’s house, and goes into therapy. Mary can now hear people’s thoughts, and she starts hearing music that seems to be broadcast from her mind. Adapted by Gary Walkow from his novel of the same name.",en,Released,0,,N/A,5.0,72,N/A,N/A,"[878, 9648]"
Cars D'oeuvres,485621,,2017-11-07,,Characters from Pixar's Cars 3 participate in goofy antics.,en,Released,0,,,,,,,[]
Devil's Trail,492384,tt7741530,2017-12-12,"Two reality TV stars are experts at survival, but when they decide to embark upon the legendary home of the Jersey Devil can they survive? Reality TV just got real.","Two reality TV stars are experts at survival, but when they decide to embark upon the legendary home of the Jersey Devil can they survive? Reality TV just got real.",en,Released,0,,N/A,3.6,65,N/A,N/A,[27]
A Ripple of Nothing Significant,485861,tt5918212,2017-11-07,An abusive theater director casts his girlfriend in the lead role of his next play.,An abusive theater director casts his girlfriend in the lead role of his next play.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[35, 18]"
Separation,518315,,2017-11-08,,A contemplation on longing.,en,Released,0,,,,,,,[16]
The Arrival,485266,tt6086192,2017-11-04,A little boy feels betrayed when his mother has another son and decides to give her a taste of her own medicine-- by summoning another mother.,A little boy feels betrayed when his mother has another son and decides to give her a taste of her own medicine -- by summoning another mother.,en,Released,70000,,N/A,N/A,N/A,N/A,N/A,[35]
The Doom Doc,499204,tt7431938,2017-11-05,"Made on a crowd-funded, shoestring budget, The Doom Doc offers a visceral, immersive look into a hazy black hole that lies at one extreme of the musical spectrum.","Made on a crowd-funded, shoestring budget, The Doom Doc offers a visceral, immersive look into a hazy black hole that lies at one extreme of the musical spectrum.",en,Released,0,,N/A,8.2,8,N/A,N/A,[]
Strange Men,499709,,2018-01-01,,"Joe and Nick are proud to present a new series called Buried Treasures, a guided tour through the VHS finds they've deemed too weird to include in their live show along with hand-picked deep cuts from the Found Footage Festival archives. This first volume, Strange Men, includes dozens of video clips, each with a strange man doing a strange thing. One man jumps around his living room. Another man interviews cheerleaders. There's even a man with a ponytail! There are so many strange men crammed in this collection, you'll think you're at an O.T.B.",en,Released,0,,,,,,,[]
Radiances IV,495259,,2017-11-04,,Video Painting Series,en,Released,0,,,,,,,[]
The Longest Year,513781,,2018-01-01,,"A filmmaker’s attempt to understand and work through a personal, tragic, life-altering event through the memories of friends and loved ones who shared the experience.",en,Released,0,,,,,,,[]
Film-collage 2 - introduction,527902,,2018-01-01,,Couldn't the impossibility to communicate be compensated by the ability to feel?,en,Released,0,,,,,,,[]
Back Held Hands,481130,,2017-11-03,,"After suffering a heart attack, a famous actor invites his two daughters to return to Greece and join him in a “Macbeth for three” performance. The rehearsals will reveal all their harsh truths and emotional traumas.",en,Released,0,,,,,,,[]
Delivering Christmas,490817,tt7663890,2017-12-03,"After a little girl tells her mailman that her widowed mother is sad, he decides to bring her gifts in honor of the 12 days of Christmas.","When a young girl tries to write a letter to Santa, she confesses to the mailman that she can't think of what to ask for after her Grandma passed away and her mother has been really sad. Without family to spend the holiday with, the mailman decides that for the next twelve days, he will deliver surprise gifts to the mom to remind her of the Twelve Days of Christmas.",en,Released,0,,N/A,7.1,42,N/A,N/A,[10751]
Father,505429,tt8019326,2017-11-01,"As a preacher investigates the sudden disappearances around his town, a small group of teenagers arrive for summer vacation where they experience gruesome torture and are forced to survive alone.","As a preacher investigates the sudden disappearances around his town, a small group of teenagers arrive for summer vacation where they experience gruesome torture & are forced to survive alone.",en,Released,2000,,N/A,N/A,N/A,N/A,N/A,[27]
The Lion,491677,tt6968436,2017-12-04,The world of corporate video is paved with demanding talent and meddling clients. The Lion is based on my own real (and very painful) experiences directing corporate voiceovers.,The world of corporate video is paved with demanding talent and meddling clients. The Lion is based on my own real (and very painful) experiences directing corporate voiceovers.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Long Way Home,519796,tt6542278,2018-01-01,Plot is being kept under wraps.,"Climate scientist Terra Church battles for the future of sustainable life, in multiple realities.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[28, 878]"
Shutter,529129,,2018-01-01,,Shutter is an experimental short film built around a series of literary references.,en,Released,0,,,,,,,[]
Expedition 1.1,529130,,2018-01-01,,A radically intimate film about landscapes we never knew we possessed.,en,Released,0,,,,,,,[]
Avocado,529796,,2018-01-01,,"A film about a person's inability to cut an avocado. Directed by and starring Lorelei Ramirez, this experimental short finds strange humor in reality-bending absurdities and illogical deep-seated fears.",en,Released,0,,,,,,,[18]
A Plastic Bottle's Stair Dance,527899,,2018-01-01,,"A plastic bottle performs a stair dance, hopping up and down, tapping off wild rhythms like a Broadway dancer. At first glance, the bottle seems to be simply trashed around by wind gusts. But as the dance intensifies, it becomes more and more apparent that the bottle is rebelling against the wind, not following it. Finally, the bottle leaps into a different space, which has gently revealed its presence more than once during the dance, but seemed so far from this bustle and flurry and the chiaroscuro on the concrete steps.",en,Released,0,,,,,,,[]
Delirium,532890,,2018-01-01,,"There is a hint of an under water circus, and many of the performers are acrobats. The sea water, if that's what it is, is yellowish brown. A full-faced sun rises from the Sun King's cradle, while a moon of Saturn circles the planet. The cut-out animation moves airily through a time-distorted world, where dizziness barely maintains a balance, and conventional time-sense disappears. The music of John Davis, which has been slowed to half speed, reverberates eerily throughout the pulsing series of performances, and one wonders whether in the next scene one can catch one's balance. The timing throughout is musical, and suggests a barely upheld world of sanity; of course the dream world creeps into the conscious mind's puritanical sense of propriety, rendering a secondary sense of unbalance facing trial at the bar of...whatever comes to mind. Delirium?",en,Released,0,,,,,,,[16]
Radiances I,495256,,2017-11-01,,Video Painting Series,en,Released,0,,,,,,,[]
Bar Wrestling 5: This Is Halloween,518357,,2017-12-10,,Bar Wrestling 5: This Is Halloween,en,Released,0,,,,,,,[]
Achoo,504173,tt7993166,2017-11-15,The story of the dragon who created fireworks.,"In ancient China, a little dragon who can't breath fire will fight to overcome his weakness in order to take part in the New Year's celebration.",en,Released,0,,N/A,5.8,215,N/A,N/A,"[35, 16]"
The Ball,485338,,2017-11-24,,"Amin loves football. He wears an A.S. Roma jersey on the back of which he wrote the name of defender Rudiger. A distant relative of the player's mother lives in Amin’s village in Nigeria, so he became a catalyst for the boy's dream of a better life.",en,Released,0,,,,,,,[]
Elizabeth Smart: Questions Answered,489973,,2017-11-20,,"Abduction survivor Elizabeth Smart answers questions from viewers, revealing new details about her nine months in captivity and her recovery. Dr. Drew Pinsky guides a revealing discussion about her methods of surviving the ordeal.",en,Released,0,,,,,,,[]
Kinalimutan Natin ang mga Bata,494869,,2017-12-25,,A short animated film,en,Released,0,,,,,,,"[16, 36]"
Texting,497459,,2017-12-09,,A man in his late 20's engages in a text thread while home alone.,en,Released,0,,,,,,,"[35, 18]"
Scenes From a Park,495175,,2017-12-21,,A compilation of imagery from a public park.,en,Released,0,,,,,,,[9648]
Charlie,514398,tt6987228,2018-01-01,N/A,Blurred lines of friendship and an easy intimacy make Sasha think best friend Charlie is the one.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Cop's Enemy,515163,tt7014738,2018-01-01,"In a city full of corrupt cops and mysterious kingpins such as Shadow, a young man Victor Kaapor fights to save his mother and the woman he loves. Which forces him to go undercover, '...","In a city full of corrupt cops and mysterious kingpins such as Shadow, a young man Victor Kaapor fights to save his mother and the woman he loves. Which forces him to go undercover, 'off-the-books' mission to help the police take down an well-known unstoppable crew of Rich kids known as ""Cop's Enemy"". His only option is to betray the woman he loves, but as he gets closer to his goal he begins to realise that everything is not as it seems.",en,Released,1000000,,N/A,7.1,8,N/A,N/A,"[80, 18, 28]"
Amazonia,516939,,2018-01-01,,"Amazonia is a live-narrated essayistic meditation on one of the key sites where the virtual world of e-commerce becomes physical: the Amazon.com fulfillment centers where the millions of items available for purchase with the click of a mouse await our orders. The film visits the four cities - New Castle, Delaware; Fernley, Nevada; Coffeyville, Kansas; and Campbellsville, Kentucky - where Amazon's four original fulfillment centers were located to meditate on the impacts of our online purchases on the people and places ""at the other end of the internet.""",en,Released,0,,,,,,,[]
Progidy,491866,tt4875598,2017-12-19,"When child prodigy Stephanie Glass graduates college at the age of 16, she has her whole life - and medical school - right in front of her. But having never made a connection with someone ...","Child prodigy Stephanie Glass has rushed through her entire education to the point of graduating college at the age of 16. But after realizing she's never really known anyone her own age, she decides to enroll in one year of public high school to get the life experience she missed out on.",en,Released,3000,,N/A,N/A,N/A,N/A,N/A,"[35, 18]"
Amazonia,516939,,2018-01-01,,"Amazonia is a live-narrated essayistic meditation on one of the key sites where the virtual world of e-commerce becomes physical: the Amazon.com fulfillment centers where the millions of items available for purchase with the click of a mouse await our orders. The film visits the four cities - New Castle, Delaware; Fernley, Nevada; Coffeyville, Kansas; and Campbellsville, Kentucky - where Amazon's four original fulfillment centers were located to meditate on the impacts of our online purchases on the people and places ""at the other end of the internet.""",en,Released,0,,,,,,,[]
